entity,label,lr_believes_exaggeration
ben shapiro,PERSON,False
phoenix,GPE,False
northeast,LOC,False
new york,GPE,False
southern florida,LOC,False
ben shapiro,PERSON,False
ac,ORG,False
global,PRODUCT,False
ac,ORG,False
ac,ORG,False
don't-,LOC,False
ac,ORG,False
revival,PERSON,False
millions-,GPE,False
florida,GPE,False
florida,GPE,False
florida,GPE,False
florida,GPE,False
ben,PERSON,False
the middle east,LOC,False
phoenix,GPE,False
arizona,GPE,False
saudi arabia,GPE,False
ac,ORG,False
ben,PERSON,False
ac,ORG,False
atlantic ocean,LOC,False
atlantic,LOC,False
the atlantic ocean,LOC,False
atlantic,LOC,False
meridian,NORP,False
the east coast,LOC,False
europe,LOC,False
nature communications,ORG,False
mark,PERSON,False
earth,LOC,False
the north atlantic basin,LOC,False
uk,GPE,False
europe,LOC,False
haywire,ORG,False
back in time,ORG,False
trends,ORG,False
the southern ocean,LOC,False
north atlantic ocean,LOC,False
the southern ocean,LOC,False
greenland,GPE,False
the north atlantic,LOC,False
un,ORG,False
michael mann,PERSON,False
the university of pennsylvania,ORG,False
amac,ORG,False
key west florida,LOC,False
rome,GPE,False
ken klippenstein,PERSON,False
earth,LOC,False
florida,GPE,False
arizona,GPE,False
arizona,GPE,False
hospital,ORG,False
arizona heat wave,ORG,False
fahrenheit,ORG,False
states,GPE,False
corporate america,ORG,False
arizona,GPE,False
maricopa county,GPE,False
arizona,GPE,False
lobby,PERSON,False
lobby,PERSON,False
republican,NORP,False
democrats,NORP,False
democrats,NORP,False
joe,PERSON,False
america,GPE,False
un,ORG,False
gonna change,ORG,False
americans,NORP,False
jesse,PERSON,False
exxon mobil,ORG,False
chevron,ORG,False
hire,PERSON,False
jesse,PERSON,False
republican,NORP,False
democratic,NORP,False
jesse,PERSON,False
american,NORP,False
us,GPE,False
western,NORP,False
american,NORP,False
acres,PRODUCT,False
maui,LOC,False
rising,WORK_OF_ART,False
rising,WORK_OF_ART,False
uk,GPE,False
haywire,ORG,False
national oceanic and atmospheric administration,ORG,False
paris,GPE,False
rick spinrad,PERSON,False
peter tanz,PERSON,False
fdr,PERSON,False
us,GPE,False
democrats,NORP,False
joe manchin,PERSON,False
new orleans,GPE,False
miami,GPE,False
the middle east,LOC,False
the middle east,LOC,False
kuwait,GPE,False
the united arab emirates,GPE,False
saudi,NORP,False
iraq,GPE,False
iran,GPE,False
the middle east,LOC,False
the middle east,LOC,False
north atlantic sea,LOC,False
the west coast,LOC,False
florida,GPE,False
texas,GPE,False
florida,GPE,False
central america,LOC,False
heat,PERSON,False
big oil,ORG,False
big oil,ORG,False
us,GPE,False
democrats,NORP,False
republicans,NORP,False
the us department of justice,ORG,False
us,GPE,False
american,NORP,False
progress,ORG,False
big oil,ORG,False
democrats,NORP,False
republicans,NORP,False
big oil,ORG,False
bell,ORG,False
drop,PERSON,False
may,PERSON,False
france,GPE,False
france,GPE,False
us,GPE,False
fahrenheit,PERSON,False
northeast,LOC,False
the mid-atlantic,LOC,False
el nino,GPE,True
frog,ORG,True
net zero,ORG,True
bell,ORG,False
drop,PERSON,False
obama,PERSON,False
obama,PERSON,False
kevin anderson,PERSON,False
us,GPE,False
paris,GPE,False
us,GPE,False
us,GPE,False
uk,GPE,False
japan,GPE,False
australia,GPE,False
china,GPE,False
paris,GPE,False
paris,GPE,False
the associated press,ORG,False
nature,WORK_OF_ART,False
pace,ORG,False
the persian gulf,LOC,False
ill,GPE,False
midwest,LOC,False
the old guard,ORG,False
persian gulf,LOC,False
ac,ORG,False
ac,ORG,False
incredible,PERSON,False
earth,LOC,True
hurricane sandy,ORG,True
lewis,PERSON,True
lewis,PERSON,True
the united states,GPE,True
davidpacmancom,ORG,False
the northeast- washington dc,ORG,True
new york,GPE,True
boston,GPE,True
lewis,PERSON,True
wingers,ORG,True
michael,PERSON,True
penn state's,ORG,True
earth,LOC,True
atlantic,LOC,True
lewis,PERSON,True
kevin,PERSON,True
the national center for atmospheric research,ORG,True
northeast,LOC,True
lewis,PERSON,True
fox news,ORG,True
the northern plains,LOC,True
congress,ORG,True
fox news,ORG,True
tricky,ORG,True
dunning krueger,PERSON,True
dunning krueger,PERSON,True
global warming,PERSON,True
dunning krueger,PERSON,True
unapologetic,ORG,True
center,GPE,True
dr hugh,PERSON,False
the department of public health,ORG,False
st george's university,ORG,False
grenada,GPE,False
grenada,GPE,False
david,PERSON,False
states,GPE,False
caribbean,LOC,False
pacific,LOC,False
the indian ocean,LOC,False
mediterranean,LOC,False
united nations,ORG,False
david,PERSON,False
publications,ORG,False
islands,GPE,False
paris,GPE,False
target,ORG,False
herculean,NORP,False
nations,ORG,False
the solomon islands,LOC,False
islands,GPE,False
thailand,GPE,False
us,GPE,False
grenada,GPE,False
state,ORG,False
rex,PERSON,False
the trump administration,ORG,False
us,GPE,False
emissions,ORG,False
china,GPE,False
india,GPE,False
us,GPE,False
china,GPE,False
china,GPE,False
paris,GPE,False
paris,GPE,False
us,GPE,False
china,GPE,False
us,GPE,False
david,PERSON,False
exxon mobile,ORG,False
exon mobile,ORG,False
paris,GPE,False
paris,GPE,False
the united states,GPE,False
the united states,GPE,False
the united states,GPE,False
united states,GPE,False
buy,PERSON,False
st george's university,ORG,False
american university,ORG,False
grenada,GPE,False
american,NORP,False
footprints,LOC,False
american,NORP,False
co2,PRODUCT,False
energy efficiency,ORG,False
american,NORP,False
paradigm,PRODUCT,False
the united states,GPE,False
bear,ORG,False
florida,GPE,False
us,GPE,False
irma-,PERSON,False
us,GPE,False
gabriel,PERSON,False
princeton university,ORG,False
atlantic,LOC,False
pat,PERSON,False
sun,ORG,False
homo,ORG,False
american,NORP,False
sun,ORG,False
twitter,PERSON,False
david,PERSON,False
the united states,GPE,False
aryan,NORP,False
venezuela,GPE,False
russia,GPE,False
michael,PERSON,False
penn state university,ORG,False
earth,LOC,False
point,ORG,False
east coast,LOC,False
fahrenheit,GPE,False
us,GPE,False
fahrenheit,PERSON,False
michael,PERSON,False
el nino,GPE,False
el ninos,ORG,False
el nino,ORG,False
skeptics,ORG,False
earth,LOC,False
skeptics,ORG,True
arsenal,ORG,True
co2,PRODUCT,True
spike,PERSON,False
michael,PERSON,False
initiative,ORG,False
new york state's,GPE,False
justified,PERSON,False
us,GPE,False
trends,PRODUCT,False
challenge,ORG,False
new york,GPE,False
renewables,GPE,False
germany,GPE,False
germany,GPE,False
renewables,GPE,False
michael,PERSON,False
penn state university,ORG,False
al gore's,PERSON,True
florida,GPE,False
florida,GPE,False
earth,LOC,False
candace owens,PERSON,False
gregory whitestone,PERSON,True
earth,LOC,True
south africa,GPE,True
africa,LOC,True
burns,PERSON,True
solutions,ORG,True
ukraine,GPE,True
