lr_believes_exaggeration,word,magnitude
False,Phoenix,0.0349
False,record,0.0226
False,I,0.0201
False,hot,0.0193
False,s,0.0188
False,thank,0.0109
False,ERA,0.0312
False,country,0.0245
False,definitely,0.0223
False,Revival,0.0204
False,duper,0.0124
False,leader,0.0106
False,fuels,0.0079
True,crab,0.0803
True,scientists,0.0603
True,cold,0.0407
True,not,0.0372
True,factually,0.0351
True,he,0.0343
True,because,0.0302
True,outside,0.0269
True,get,0.015
False,Florida,0.0533
False,term,0.0397
False,hotter,0.0379
False,here,0.0372
False,league,0.0328
False,like,0.0267
False,go,0.0139
False,conservative,0.0483
False,we,0.0352
False,Arizona,0.0308
False,hot,0.029
False,now,0.0177
False,circulation,0.05
False,shutdown,0.0443
False,Atlantic,0.0316
False,thresholds,0.0376
False,conservative,0.0307
False,slash,0.03
False,hemisphere,0.029
False,terminology,0.0211
False,UK,0.0154
False,they,0.0148
False,circulation,0.0348
False,is,0.0312
False,fully,0.0302
False,wars,0.0225
False,amoc,0.0219
False,Atlantic,0.0186
False,we,0.014
False,worst,0.0237
False,we,0.0178
False,shutdown,0.0164
False,this,0.0153
False,Atlantic,0.0075
False,Century,0.0074
False,hottest,0.0353
False,Maricopa,0.0352
False,month,0.0292
False,Arizona,0.0286
False,hot,0.0195
False,vote,0.0152
False,are,0.0093
False,crisis,0.0269
False,fuels,0.0217
False,IRA,0.0216
False,now,0.0151
False,reduction,0.015
False,be,0.014
False,fuel,0.0127
False,renewable,0.0125
False,government,0.0342
False,hottest,0.0262
False,segment,0.0211
False,Wars,0.0211
False,this,0.0168
False,look,0.0114
False,taxed,0.0394
False,tax,0.0348
False,Chevron,0.033
False,Americans,0.0224
False,more,0.0215
False,oil,0.0488
False,administrations,0.0409
False,tax,0.0395
False,fires,0.0356
False,American,0.0225
False,Maui,0.0167
False,beautiful,0.0117
False,chart,0.0095
False,has,0.0095
False,61,0.0041
False,UK,0.0714
False,butter,0.0328
False,mile,0.025
False,oh,0.0174
False,wars,0.0138
False,may,0.0373
False,in,0.0301
False,2021,0.0256
False,highest,0.0245
False,the,0.0202
False,2015,0.0177
False,paris,0.0167
False,term,0.0166
False,2020,0.016
False,heat,0.0134
False,coronavirus,0.0126
False,oil,0.0383
False,democrats,0.0381
False,renewable,0.0087
False,conservatives,0.0516
False,2021,0.0342
False,islands,0.0175
False,fuels,0.0353
False,conservatives,0.0211
False,middle,0.0189
False,iran,0.0174
False,you,0.0122
False,iraq,0.0108
False,Atlantic,0.0224
False,impacts,0.0182
False,Texas,0.0157
False,America,0.0145
False,we,0.0134
False,Florida,0.0118
False,fuel,0.0451
False,Oil,0.0412
False,oil,0.0226
False,happening,0.0225
False,Tuesday,0.0196
False,oil,0.0725
False,tobacco,0.0444
False,Oil,0.0421
False,American,0.0251
False,block,0.0162
False,cigarettes,0.1317
False,highlighted,0.0638
False,see,0.0184
False,all,0.0139
False,France,0.0436
False,record,0.0291
False,June,0.0283
False,s,0.0128
False,warmest,0.005
False,all,0.0035
True,should,0.0551
True,people,0.0543
True,it,0.0435
True,anecdotal,0.0392
True,Net,0.0276
False,back,0.0309
False,out,0.0212
False,fight,0.02
False,barack,0.0264
False,vote,0.0194
False,victory,0.0183
False,paris,0.0108
False,big,0.0047
False,oil,0.0196
False,and,0.0167
False,fuels,0.0158
False,all,0.0145
False,fuel,0.0274
False,leaders,0.0144
False,paris,0.0142
False,biden,0.014
False,line,0.0128
False,agreement,0.0583
False,conferences,0.0341
False,fuels,0.0333
False,paris,0.0289
False,fuel,0.0217
False,nothing,0.0174
False,we,0.017
False,s,0.0048
False,hot,0.0289
False,Gulf,0.0239
False,when,0.0237
False,United,0.0204
False,States,0.0558
False,energy,0.0526
False,going,0.0315
False,to,0.0257
False,implement,0.0222
False,countries,0.0162
False,Gulf,0.0463
False,fuel,0.0442
False,politics,0.0338
False,2100,0.0294
False,s,0.0289
False,re,0.0215
True,convince,0.0549
True,Was,0.0511
True,people,0.0453
True,deny,0.0431
True,natural,0.0342
True,scientist,0.0299
True,they,0.0295
True,climate,0.0021
True,accept,0.079
True,people,0.0562
True,not,0.0533
True,Yeah,0.0366
True,easy,0.0343
True,tornado,0.0327
True,growth,0.0284
False,energy,0.0745
False,tough,0.0388
False,will,0.029
False,efficient,0.02
True,blizzard,0.0675
True,analogy,0.0469
True,disprove,0.0463
True,evidence,0.0396
True,scientist,0.0352
True,science,0.0197
True,peer,0.019
True,hoax,0.0877
True,science,0.0541
True,believe,0.0434
True,people,0.0414
True,scientist,0.0403
True,point,0.0381
True,believe,0.0686
True,science,0.0491
True,reading,0.0449
True,smash,0.0374
True,they,0.0369
True,doesn,0.0359
True,pipe,0.0064
False,Grenada,0.0727
False,alliance,0.0237
False,issue,0.0215
False,represent,0.021
False,for,0.0177
False,threatens,0.0358
False,our,0.0232
False,will,0.0167
False,level,0.0099
False,emissions,0.0245
False,policy,0.0199
False,ve,0.0095
False,runaway,0.0078
False,will,0.0301
False,re,0.0221
False,energy,0.022
False,since,0.0088
False,Grenada,0.058
False,who,0.0226
False,ll,0.013
False,re,0.0102
False,Trump,0.0093
False,agreement,0.0451
False,Exxon,0.0395
False,US,0.0287
False,I,0.0285
False,Paris,0.0248
False,Paris,0.0327
False,agreement,0.0245
False,Kyo,0.0219
False,American,0.0143
False,States,0.0123
False,Grenada,0.0533
False,American,0.0237
False,States,0.0151
False,energy,0.0094
False,pronouncing,0.033
False,hurricane,0.0255
False,Florida,0.0215
False,more,0.0288
False,as,0.0224
False,hurricane,0.0212
False,water,0.0208
False,effectively,0.0185
False,impact,0.0168
False,damage,0.0474
False,financial,0.0143
False,another,0.0134
False,re,0.0133
False,all,0.0027
False,issues,0.0525
False,American,0.0468
False,activist,0.0351
False,leaders,0.0338
False,back,0.0109
False,democracy,0.0893
False,fuels,0.0282
False,hurricanes,0.0095
False,say,0.0074
False,rival,0.0039
False,policies,0.0354
False,emissions,0.0261
False,taxes,0.025
False,term,0.0195
False,agreement,0.0136
False,aggressive,0.0416
False,Trump,0.0407
False,fuels,0.0401
False,energy,0.0373
False,renewable,0.0334
False,I,0.0245
False,taxes,0.0217
False,Venezuela,0.0216
False,oil,0.0195
False,countries,0.0172
False,fuels,0.0141
False,when,0.0103
False,cost,0.0046
False,crisis,0.0305
False,fuels,0.0301
False,will,0.0233
False,of,0.0141
False,emissions,0.0115
False,State,0.0113
False,El,0.0263
False,will,0.0237
False,fuels,0.0182
False,major,0.0154
False,level,0.0147
False,means,0.0086
False,ninos,0.0086
False,see,0.004
False,Nino,0.0628
False,El,0.0571
False,impacting,0.0401
False,more,0.0285
False,acidic,0.0284
False,climate,0.0277
True,myths,0.0966
True,Skeptics,0.0754
True,skeptical,0.0616
True,reason,0.0418
True,seen,0.0343
False,fuels,0.0484
False,planet,0.0337
False,Effect,0.0253
False,burning,0.0244
False,plate,0.0182
False,over,0.0121
False,electricity,0.05
False,dent,0.0429
False,I,0.0228
False,now,0.0141
