title,video_id,channel,clim_change,glob_warm,carb_emis,green_en_policies,fos_fu_ind,clim_activ,env_regul,clim_polic_debate,renew_en_trans,carb_tax,counter_>_0.4
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.479,0.459,0.153,0.238,0.108,0.459,0.192,0.431,0.159,0.115,4
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.399,0.422,0.332,0.507,0.325,0.423,0.319,0.479,0.471,0.33,5
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.532,0.507,0.216,0.195,0.098,0.427,0.221,0.409,0.182,0.176,4
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.588,0.547,0.254,0.284,0.149,0.456,0.258,0.472,0.23,0.229,4
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.442,0.34,0.172,0.318,0.196,0.433,0.244,0.432,0.273,0.186,3
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.378,0.415,0.168,0.118,0.169,0.31,0.148,0.319,0.16,0.101,1
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.543,0.523,0.211,0.225,-0.002,0.392,0.186,0.44,0.251,0.132,3
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.45,0.433,0.222,0.152,0.188,0.384,0.248,0.401,0.15,0.127,3
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.496,0.48,0.183,0.179,0.145,0.353,0.138,0.456,0.174,0.097,3
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.418,0.463,0.24,0.28,0.14,0.407,0.217,0.402,0.147,0.163,4
