title,video_id,channel,transcript
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,Ben Shapiro every time he talks about climate change it is uh it is a glorious thing to see you see that big brain uh you know breaking everything down in real time it is it's really phenomenal so he's got some new thoughts for us on climate change now remember guys this is at a time when um we're getting records shattered left and right just absolutely obliterated left and right I mean I don't even know is is Phoenix still going with their record I know that it was like what did they have 22 straight days of 110 degrees or more 22. the previous record was 18. they obliterated the record and it's just one of many right we've seen the insane flooding in the Northeast and parts of New York there's been a list of wild and extreme weather events the the water off the coast of Southern Florida was close to a hundred degrees it was like a freaking hot tub we're an Uncharted Territory here well um Ben Shapiro is going to come in and don't worry he's going to use logic and facts to disprove any sort of concerns you have based on science and empirical data and phenomenological experience listen to this can I point out that there are a lot of headlines right now about how hot it is outside I know it's hot outside you know what I can do about that zero things thank God we have this thing called air conditioning it's awesome you know it's a great cure for being super duper hot outside being a first world country amazing it works out tremendously well because it turns out that if you have a really solid energy grid and you have the capacity turn on that AC you're living quite comfortably these days you know what sucks Global poverty you know it brings Global poverty decarbonization so not only is he being smug and glib and dismissive you know like AC AC exists so owned climate change wrecked owned bro we got you he's also leaning into by the way let's not do anything about this at all definitely don't uh you know move away from carbon and fossil fuels definitely don't do that so not only is he being glib and saying AC is the solution bro he's also saying but definitely don't move to solar definitely don't move to win definitely don't move to nuclear definitely don't move to geothermal definitely don't do anything you can definitely don't have an economic Revival where we get the inevitable patents in the field of green and renewable technology where we can be the world leader in that thing and we can make tremendous amounts of money definitely don't do any of that stick in the previous ERA this is like a dude saying right after the invention of the car bro forget the car horse and buggy bro where my horse and buggy people at you want to get off the horse and the buggy what's wrong with you we've been doing it like this for so long do you think we're gonna change it let me also point out that uh the media always do this routine when it's very very hot outside they never ever cover it when it's cold so it's funny that is actually factually not true and he's going to get into this here but they used to call it global warming now they call it climate change why do they call it climate change well the trend is still warming you could see the line on the crab goes like you know basically straight up or up in a very clear way but because of climate change there are also just a massive increase of extreme weather events of all kinds across the board so they do bring up when it's cold outside and in that instance oftentimes they say yeah this potentially could be part of climate change scientists are very careful when they talk because they want to make sure they're clear about something so and you can't say any one individual weather event is because of climate change you can look at the pattern you can look at the trend and then you can definitely say it's because climate change and yes it includes extreme weather events on the other side too yes and that's not crazy that's not stupid that's not dumb you're being professionally dense when you act like you don't understand that point your freaking ivy league educated you get the point people are making you just don't agree with it so you try to poke holes using facts and logic but you end up falling on your ass the media will say well you know it's not global warming it's not climate change and the reason they changed the term from global warming to climate change is because the the climate in many cases is colder during the winters than it was before so it's hotter during the summer since colder during the winters they've called this climate weirding but that doesn't really seem to go over all that way so they call it climate change which of course is an incredibly vague term because the climate is always changing however it is worth noting at this point that all of this folks Millions will die of the heat waves that are occurring on planet oh my God the ocean is so hot during the summer in Florida okay so first of all it is hot this summer in Florida also it's not like every summer in Florida I've been to Florida it's really really hot and humid like I noticed when I first visited here several years ago and we moved anyway because air conditioning exists so he's like poo pooing the idea that people will die because of climate change well I hate to tell you Ben but there's this thing called drought there's this thing called famine there's this thing called uh many fresh water resources running out where we'll eventually have wars over water there's this thing called the Middle East will at some point be uninhabitable because it's too hot who knows maybe places like Phoenix Arizona will be uninhabitable and they also sold a lot of their water to freaking Saudi Arabia by the way seems like a bad idea given the current place we're in you got all these problems and he just swats them aside we have AC yeah well thank you Ben for using your big brain like I get it dude you're conservative I get it I get it I get it but when you're so ideological and you're so married to your your politics that you just disregard or ignore or SWAT aside empirical facts about reality I mean it there you can't call that anything but dishonest you can't you can't do it so you know it used to be the case that these guys had climate change isn't happening now it's like okay it's happening but it's natural it's gonna happen no matter what okay it's happening but it's a good thing they keep like moving the goal posts and now we're at the point where he's just like threw his hands up in the air he's like I don't know whatever it is what it is AC exists get over it that's not good that's not a serious way of tackling this problem so anyway you would have thought that over the years his commentary would have been sharpened because he's a political commentator no this reminds me exactly of this old clip which is a very famous clip because everybody and their mother made fun of it because it's the dumbest thing you've ever heard in your life so let's say let's say for the sake of argument that all of the water levels around the world rise by by let's say five feet over the next hundred years say 10 feet by the next hundred years and it puts all the low-lying areas on the coast underwater right which let's say all of that happens you think that people aren't going to just sell their homes and move this is the level of commentary that we're dealing with and he's viewed as the right wing intellectual he's used as the smart guy and this is this type of stuff he says well look again I got news for you saying now in the year of Our Lord 2023. we have AC bro what ifs that same level that's the same level of commentary and honestly it's embarrassing at this point if you're uh you know willfully going along with this I don't know what to tell you I don't want to be too much of a dick and question your intelligence but good googly moogly it's hard to steal man people who are falling for this stuff man it really is sweet Jesus I don't I don't know how this is convincing to anybody but nonetheless here we are hey y'all do me a favor and like And subscribe it helps out big time in the algorithm click the Bell as well for notifications when videos Drop and watch that video on screen right now you know you want to
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,every day I learn a new fact that scares the crap out of me when it comes to climate so this is an axios a new study says a key Atlantic Ocean circulation could shut down by mid century so here's a little picture of it here the way the circulation works in the Atlantic it's actually really interesting a key element driving the Atlantic Ocean May dramatically dramatically slow down and then turn off completely during the next few decades a new study finds the circulation known as the Atlantic meritonial Meridian overturning circulation or the amok amoc includes the Gulf Stream part of a global conveyor belt that moves water around the world the amok helps to regulate everything from the rate of sea level rise on the east coast to Europe's average temperatures a sudden shutdown of this ocean current which the new study shows could occur during mid-century or between 2025 and 2095 was part of the plot of the 2004 disaster film The Day After Tomorrow do you guys remember that movie We're literally now bringing about in reality Day After Tomorrow stuff the research published Tuesday in the journal Nature Communications uses statistical methods to tease out early warning signals of an amok collapse including a Slowdown in the current and increasing variability the findings also suggest the shutdown may happen sooner than previously thought and perhaps within many people's lifetimes a breakdown would likely be potentially irreversible and would Mark a major Tipping Point critical thresholds in Earth's climate system that when crossed will usher in severe changes climate models indicate that an abrupt stop could trigger extreme cooling across parts of the northern hemisphere rainfall patterns around the world would be disrupted and major floods and storms would increase leading to further sea level rise in the North Atlantic Basin among other effects they say when they talk about extreme cooling I saw this in a different article on the same topic they say that uh in like like the UK for example northern Europe sort of area that that would go into to extreme cooling now I'm sure if slash when that happens you'll have a conservative turn around and say whatever I thought it was global warming and look there's massive cooling going on here no the reason why they changed the terminology to climate change is to be more accurate because the fact of the matter is even though the trend over time is warming and that line is very clear the climate truly is warming the weather even is warming it's true that you're going to have all sorts of issues pop up with severe weather on both ends of the spectrum and this is one of those things as a direct result of climate change this circulation could stop and then you'll have some places that get super freaking cold totally Haywire our system's gone totally Haywire we're talking about drought we're talking about famine we're talking about wars over water we're talking about some places you can't even live we're talking about increased extreme weather events the list goes on and on while the precise effects of a collapse aren't fully understood scientists believe it would have vast socioeconomic consequences for tens of millions of people acutely impacting coastal cities agriculture that's terrifying if it's going to affect our agriculture how do we know everything's going to be okay where we can feed everybody fish populations and marine ecosystems detailed observations of this circulation pattern via modern instruments are relatively short the study notes the scientists extended records further Back In Time by using sea surface temperatures to shed light on Trends the authors also noted they couldn't rule out overlooked or undiscovered mechanisms not reflected in their assessment the amoc is a system of ocean currents that transport water and heat between the Southern Ocean and the far North Atlantic Ocean in a years-long cycle that influences weather patterns in both hemispheres the currents are driven by differences in water density regulated by changes in temperature and salt concentration as warm water flows north along the ocean's surface it becomes denser as evaporation increases salinity levels and temperatures decrease making it sink deeper it then slowly spreads southwards before rising from the ocean's depths in the Southern Ocean in a process known as upwelling thereby completing the circuit previous Studies have shown that the already slow moving series of ocean currents is likely further weakening due to human-caused climate change which is accelerating ice melt in Greenland this increases the volume of lighter fresh water entering the North Atlantic the study's conclusions run contrary to the most recent report from the UN ipcc which found in amok shutdown is very unlikely to occur this Century Michael Mann a climate scientist at the University of Pennsylvania who has published studies on the slowing AMAC mock but was not involved in the new research said he questioned some of the methods and methods the new study uses nevertheless he finds its conclusions plausible quote I think the authors in this case are onto something real we could be talking decades rather than a century every time I see a story on climate change it's always like well this is worse than what we thought the worst case scenario was going to be every single time I mean we just had it was it may have eclipsed 100 degrees in the ocean uh by Key West Florida which would be a world record if that's we're shattering temperature records everywhere Rome just had a a new record temperature we've had extreme flooding in places like uh in like Northwestern New York there was just a whole bunch of extreme flooding we have the wildfires which are out of control and worse than ever we have all these things and every single time I read an article it's like this is worse than what we thought the worst case scenario would be so based on that I tend to lean more in the direction of the study that like this thing is going to happen and it's going to happen relatively soon and who knows what else this will lead to and like I said the fact that this is like hey part of this was a day after tomorrow and of course Day After Tomorrow is uh traumatized no but also like really we're even having a conversation about some of those things might happen that is wild that is wild um yeah I don't know man I think we should maybe do something about this or we could keep debating it and we could have a whole cottage industry based on uh mucking up doubt that this that this is even a problem and uh we can drag our feet until we hit until we reach Oblivion we could do that too I don't know that just seems like a bad idea to me hey y'all do me a favor and like And subscribe it helps out big time in the algorithm click the Bell as well for notifications when videos Drop and watch that video on screen right now you know you want to
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,this past month has been a real eye-opening experience for many normies because this is the first time in a while that people's anecdotal experience has lined up with the data on climate change and uh so you're seeing a lot of you know a lot of people are having a breakthrough like holy cow there's really something that we need to address so some of these headlines man are just jaw-dropping so Ken klippenstein tweeted the following Earth reaches hottest day ever recorded four days in a row this is the hottest month ever recorded in human history with Florida ocean temperatures topping 100 degrees experts warn of damage to marine life it's so hot in Arizona doctors are treating a spike of patients who were burned by Falling On The Ground hospitals in Arizona the the burn units are completely full 45 beds in one Hospital mourn another totally full searing Arizona Heat Wave that's delivered 110 degrees Fahrenheit weather for 30 days straight kills off States iconic cactuses as locals bake cookies in cars and complain of melting roads he also shares this Banks vote to limit accounting of emissions in bond and stock sales that's great that's great so Corporate America of course taking this very seriously so uh let's dive into some of these stories here so hot in Arizona doctors are treating a spike of patients who were burned by falling on the ground it's so hot Maricopa County Arizona the people are being brought into the emergency room with significant sometimes life-threatening Burns for the past three or four weeks of this record Heat Wave people have been burned just by Falling On The Ground quote summers are our busy season so we anticipate that this sort of thing is going to happen but this is really unusual the number of patients that we're seeing and the severity of injuries the Acuity of injuries is much higher said Dr Kevin Foster director of burn services at the Arizona Burn Center at Valley wise Health the numbers are higher and the seriousness of entries are higher and we don't have a good explanation for it every single one of the 45 beds in the burn center is full he said and one-third of patients are people who fell and burn themselves on the ground there are also burn patients in the ICU about half of those patients are people burned after Falls quote it has definitely taken its toll Foster said the area has been hotter than usual even for Arizona and that expert said means that the ground can be dangerous for anyone whose bare skin comes into contact with it temperatures in Phoenix top 110 degrees for the 30th day in a row by far the longest streak on record the old record was just 18 days as of uh me recording this segment I think it's even higher now I think we're on day 32 or 33. every single alarm Bell should be going off everybody should be recognizing exactly what this is now by the way people actually do the public actually does what's standing in our way we all know what's standing in our way we have an oil Lobby a fossil fuel Lobby that has effectively bought the entire Republican party and then you have some Democrats and that's all they need to do is buy some of the Democrats Joe manchin for example and then you really block any movement in the right direction now we ended we did end up getting the inflation reduction act which was definitely a step in the right direction but it certainly doesn't match the scale of the crisis and as I said a million times and I'll say a million more this is actually an Economic Opportunity if we lead when it comes to solar we lead when it comes to wind we lead when it comes to nuclear and geothermal we can get the the patents for the inevitable new technology that we can then sell to the rest of the world and so it should be looked at as an economic opportunity to change the nature of the economy get all fossil fuels save ourselves from This Disaster and do a tremendous amount of job creation in the process now by the way we already have what is it over 60 billion dollars went to green and renewable technology made in America stuff as part of the IRA that's great that's a good start but we got to go further man so I mean look every time I read an article on this stuff it's like this is worse than what uh scientists thought the worst case scenario would be and so it looks like we've really hit a Tipping Point here and there's no going back the head of the UN came out the other day and said it's no longer global warming now it's Global boiling man that scent chills up my spine dog that sent chills up my spine so I I mean we can't put the genie back in the bottle and I'm just I just fear how bad it'll actually get you know famine drought increase in extreme weather on both end both ends of the spectrum trillions of dollars in damage as a result of all this stuff Wars over water limited resources anyway uh I have to say this to end end this segment but if these things don't whip the world into shape and don't make it so the government's lead in a serious way I don't know what will because what do you have to do hottest month on record ever ever hottest days keep coming in ocean temperatures over a hundred shattering heat records what does it have to be over 130 degrees for five weeks for people to act I don't know I don't know but uh this is unsustainable and terrifying hey y'all do me a favor and like And subscribe it helps out big time in the algorithm click the Bell as well for notifications when videos Drop and watch that video on screen right now you know you want to
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,all right everybody welcome to the show how's everybody doing today I am doing just Splendid uh so do me a big favor before I even say another word click that subscribe button it's basically inevitable that Crystal is gonna pass me and subscribers which is a tragedy uh some would say it's up there with some of the worst disasters in American history uh I am one of those people I would like to have bragging rights over my wife continuing in perpetuity but it looks like all of you have failed me and I will not be able to do that and she'll have bragging rights over me and rub it in my face that she surpassed me in Subs even though my Channel's been around for roughly 78 years longer so yeah it's cool no big deal it's whatever click subscribe for the love of God and keep me in front of her so anyway um also click the Bell icon to get a notification every single time video drops shout out to all the patreon supporters of this show shout out to everybody who subscribes to Crystal Kyle and Friends by the way we had a great debate with Michael Tracy on the Trump indictments last week definitely check that out it got very heated and very passionate but it was also very substantive and I think you guys will enjoy that and remember you can always listen to this uh show in its totality as an audio podcast we don't just post the clips on YouTube it's also over on Spotify anyway all right so let's go ahead and jump into it I got a great show for you today we have um disaster in Hawaii a wildfire disaster and um at the same time you have these Fox News hosts I don't know if it was the same time or a day before to be fair but Fox News hosts were uh uh basically denying climate change as they always do we also have uh some very prominent right-wing judicial experts turning on Donald Trump and making an amazing argument that's going to shock you we have a Biden supporter a Biden supporting Republican who confronts a trump supporter at the Iowa State Fair and that is an amazing video and then we also have uh Texas apparently their prisons don't have air conditioning in Texas and you can imagine what's now happening as a result of that so we'll dive into all of that and much more all right so Jesse Waters is uh of course the resident Fox News frat boy goon and um they decided to do a climate change denying segment because it's a day that ends in y and uh I want to show you it and then contrast it with the disaster that we're experiencing in Hawaii so let's dive into it this is a psyop against the American people by big business and the Democratic party to worry you into giving you more of their money you know the World's Gonna Change everyone's gonna die tax me tax me tax me and when someone is that anxious they will do anything to solve the problem and the government says we just need to spend more money to solve the problem and that money goes to their donors they're going after people who are I guess seeing therapists because they're worried about climate change or something and they're using this as like a haha stupid liberal segment and he says it's a psyop and it's a conspiracy by big business to get uh Americans taxed more or something I love how they invert the conspiracy no Jesse the conspiracy is out in the open the conspiracy is Exxon Mobil and Chevron and a big oil and all of these dirty energy companies making a tremendous amount of profit they want to continue to make a tremendous amount of profit so what they do is they hire mercenary junk scientists to pretend like they are not leading to climate change and that gets everybody to drag their feet and not do enough to fight back even though you have like 98 or 99 of the climate scientists saying this is a real problem and we need to address it you have like 99.8 percent of studies in a in a giant meta-analysis showed yes climate change is real it's happening and it's largely man-made still want to swad it aside because I got one mercenary For Hire junk scientists who said actually it's not our fault and so let's just keep uh using oil and gas until the cows come home forever and so that's the real conspiracy the real conspiracy are the climate change deniers but he flips it oh yeah it's a psyop on behalf of big business because the government wants to tax you or something by the way Jesse do you have anything to say about the fact that under Republican administrations working people pay more in taxes do you have anything say about that under Democratic administrations where can people pay less in taxes do you have anything to say about that no I didn't think so so it's it's just standard climate denial nonsense and now it's happening at a time where even people's anecdotal experience is lining up with the data it used to be you look at the data the data says one thing and then you talk to individuals and they go I don't know things seem pretty normal now we're at the point where the data says one thing and the anecdotal experience says the same thing everybody just came off the hot the hottest month ever recorded in human history yeah I think people are going to notice that Jesse and I think they're gonna have some concerns so anyway at the same time or I should be clear I think it was maybe a day before um the Hawaii Wildfire happens this is what they're talking about so now let me show you some from that this is what happened in Maui this is astonishing look at this so for everybody just listening you're seeing burnt charred cars you're seeing uh buildings that uh have effectively collapsed because they were burnt to a crisp you're seeing just complete and utter total devastation it's basically an entire town that has effectively been wiped off the map at this point as I'm talking to you right now I know the death toll is over 100 people it is still climbing um people were basically jumping out of their cars and jumping into the water to survive that's how nightmarish this entire scenario was there's smoke everywhere I mean it is uh it's something that looks like it's post-apocalyptic it looks like it's something out of a zombie movie or or like this area just got nuked or something that's what it looks like storefronts absolutely positively destroyed a car that looked like it was in the fire for 24 hours straight everything's destroyed everything's gone boats even destroyed even that boat caught on fire and the boat is literally on the water I mean it's it's really really an astonishing picture just to put it more into perspective for people look at this so this is the before and after and forgive me if I mispronounce this but Lahaina Maui before and after this is the before that's this is what this beautiful place looked like and then now it looks like that it is uh it's a nightmare and a lot of people lost absolutely everything now you might be watching this and saying well yeah but how does this link up to climate change well we've experienced this in the American West we've seen what's happened as a direct result of climate change let me show you that chart so there are now more wildfires than there ever were over the past six decades there has been a steady increase in the number of fires in the western U.S in fact the majority of Western fires 61 percent have occurred since the year 2000 this is what the graph looks like you have a steady consistent increase here this is in the American West and apparently those fires are also larger they say those fires also burn are burning more acres of land the average annual amount of Acres burned has been steadily increasing since 1950. the number of mega fires fires that burn from more than 100 000 Acres which is 156 square miles has increased in the past two decades in fact no documented mega fires occurred before 1970. and now we get them we'll get this chart and when I think of a wildfire I do not think of Maui you know it's tropical it rains there quite a bit but apparently it dried out and then there was a very rare wind event where there were 70 mile an hour winds and the the fire just cut through everywhere like a hot knife through butter and uh again this is directly linked to climate change how much more evidence do these people need how much more do you need do you need me to bring up the climate chart the temperature chart where it's been steadily Rising where the pattern is rising Rising Rising now what they often do is they point to well there's also cold records from time to time but the way climate change works is that you get extremes on both ends of the spectrum one of the potential side effects of climate change is that the ocean current is collapsing and that's supposed to make it so that like the UK enters like Ice Age and that's all a direct result of climate change it does it just it makes the climate go Haywire effectively that's what happens and you're also going to have drought you're also going to have famine you're also going to have wars over water this is all like documented and this is stuff that we know is coming and every time they look at it they say oh my God this is worse than what we thought the worst case scenario was we're all living in it right now and they still want to do their haha stupid liberal segment about some people going to see a climate therapist or something seems like you're missing the fars for the trees there that's what it seems like to me and it seems like you guys are working backwards from your conclusion and you will never acknowledge you were wrong no matter how much evidence is put directly in front of your face hey y'all do me a favor and like And subscribe it helps out big time in the algorithm click the Bell as well for notifications when videos Drop and watch that video on screen right now you know you want to
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,all right guys so uh i regret to inform you that the climate apocalypse is here it is here carbon dioxide levels are highest in human history humans pumped 36 billion tons of the planet warming gas into the atmosphere in 2021 more than in any previous year it comes from burning oil gas and coal the amount of planet-warming carbon dioxide in the atmosphere broke a record in may continuing its relentless climb scientists said friday it is now 50 higher than the pre-industrial average before humans began the widespread burning of oil gas and coal in the late 19th century there is more carbon dioxide in the atmosphere now than at any time in the last four million years national oceanic and atmospheric administration officials said the concentration of the gas reached nearly 421 parts per million in may the peak for the year as power plants vehicles farms and other sources around the world continue to pump huge amounts of carbon dioxide into the atmosphere emissions totaled 36.3 billion tons in 2021 the highest level in human history let me just say i remember when people talked about 400 parts per million being the point of no return that once we crashed that cr cross that line we're screwed we're screwed you're gonna have catastrophic effects as a result of that now we're at 421 parts per million we're way above that 400 line kind of scary isn't it kind of scary as the amount of carbon dioxide increases the planet keeps warming with effects like increased flooding more extreme heat drought and worsening wildfires that are already being experienced by millions of people worldwide average global temperatures are now about 1.1 degrees celsius or 2 degrees fahrenheit higher than in pre-industrial times growing carbon dioxide levels are more evidence that countries have made little progress toward the goal set in the par in paris in 2015 of limiting warming to 1.5 degrees celsius that's the threshold beyond which scientists say the likelihood of catastrophic effects of climate change increases significantly they are a stark reminder that we need to take urgent serious steps to become a more climate ready nation rick spinrad the noaa administrator said in a statement although carbon dioxide levels dipped somewhat around 2020 during the economic slowdown caused by the coronavirus pandemic there was no effect on the long-term trend peter tanz a senior scientist with noa's global monitoring laboratory said in an interview the rate of increase in carbon dioxide concentration just kept on going he said and it keeps on going for about the same pace as it did for the past decade so um guys [Music] the thing that we need to realize is you can actually view this as an opportunity like fdr looked at the depression with all the pain and all the suffering and the economic devastation and he used that as an opportunity to fix the system let's do the new deal um you can do the same thing with this that's why people talk about a green new deal now there's different versions of it i think some of them uh are not specific enough on this issue but the whole concept of let's do a green new deal transition off of fossil fuels move to green renewable technology move to electric vehicles you can have a giant economic boom as a result of that a giant economic boom you can create so many jobs you can make the us the manufacturing hub of the world again we can lead the world on this stuff we can develop the patents and have them here which will make it so that in this global economic competition we rise above everybody else you can look at this as an opportunity for growth and so you get you would get the benefit of fighting back against climate change but also the benefit of an economic boom and jobs and even profit being created but you just need to dedicate yourself to it now the reason why we haven't and everybody knows this is the influence of oil money and natural gas money just the whole fossil fuel industry all the various dirty energy industries they've basically bought the entire republican party here in the u.s but they've also bought a handful of democrats like joe manchin and so they block any sort of movement in the right direction and so here we are every time you see an article on climate change or a study they always say look it's worse than what scientists said was the worst case scenario how many times have we seen that and so i mean this article should terrify people because and i also think people don't do a good enough job talking about all of the real downsides of climate change you know the one that's floated from time to time is like well rising sea levels yeah that's true and that's a huge problem and um you know there are cities like new orleans or miami that could be gone eventually right that's a huge problem but there's other things that aren't discussed like the fact that there's going to be wars over water and there's going to be famines because there's not enough fresh water and the growing seasons are all [ __ ] up you know here's another one this is an argument that should work on conservatives if they're using their brains the middle east is becoming literally uninhabitable one of the region's hardest hit by climate change is also one least equipped to deal with it the summer this summer this was in 2021 this summer several picturesque countries in the middle east became tinder boxes as extreme temperatures and severe droughts ravaged the region forest burned and cities became islands of unbearable heat in june kuwait recorded a temperature of 53.2 degrees celsius 127.76 degrees fahrenheit while oman the united arab emirates and saudi arabia all recorded over 50 degrees 122 degrees fahrenheit a month later temperatures in iraq spiked 50 to 51.5 degrees 124.7 degrees uh fahrenheit and iran recorded a a close 51 degrees 123.8 degrees fahrenheit worst of all this is just the start of a trend that the middle east is warming at twice the global average and by 2050 will be four degrees celsius warmer as compared with the 1.5 degree mark that scientists have prescribed to save humanity so they say some people say by 2050 others say by 2100 the middle east will be literally uninhabitable now let me ask you a question where do these people go when this happens where these people go there's going to be a giant refugee crisis and a giant immigration issue and conservatives not gonna like that but if you say hey we can address this now by transitioning off of fossil fuels they also don't like that so a little bit of a rock and a hard place isn't it so unfortunately look in many ways i don't fancy myself a doomer but i think when it comes to climate man i'm really close to just being a doomer because we're at the point now where it's like not only do we need to transition quickly we also need um new technology to help get us there finding a way to vacuum the greenhouse gases out of air or some [ __ ] and i don't know if that exists i don't know if that will exist but this is not a good sign none of this stuff is a good sign and i guarantee this won't get nearly the press that it deserves that carbon dioxide levels are the highest in human history that's astounding ever since adpocalypse when youtube defunded all independent news and politics overnight we haven't trusted them we know they can pull the rug out from underneath us at any time if you enjoy this content please consider tipping a dollar two per month on the secular talk patreon link in the video description box below thanks for your support
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,"all right guys let me walk you through this situation that we're currently looking at uh the fact of the matter is the climate apocalypse is already here people talk about climate change uh from the perspective of man we better do something because in the near future we're really [ __ ] but the reality is ain't no near future nothing we're [ __ ] right nski okay we we're already the Die Cast we're already seeing the results here man here's one thing I wanted to share emergency services at Dublin Airport after passengers and crew injured by turbulence in Qatar Airways flight now you might say well Kyle hold on now this just turbulence no big deal it happens every now and then we've seen a massive drastic increase in the number of flights that have vicious and violent turbulence where some people are get hurt somebody died on a flight the other day because of the turbulence because their head went up and hit and [ __ ] broke their neck or some [ __ ] right we're now seeing more and more and more instances of this happening why oh my God again a second plane is hit by dangerous turbulence just a few days this is what happens when the planet is hotter than ever in recorded history it's obvious we will see much more of this despite the fact Aviation experts tell us it's rare and the complacency of the media Etc we are in near total denial of the planetary crisis we are in I read an article the other day that made the same point uh this is actually directly tied to climate change and the temperatures being record-breaking in terms of how hot it is so expect more severe turbulence look at this North North Atlantic Sea surface temperature anomaly this is 2024 North Atlantic Sea surface temperature here you have all the other years right here's 20124 the the sea is boiling on the west coast of Florida yesterday they said it hit 90° the ocean is a [ __ ] hot tub there you know what that means very very dangerous and strong hurricane season talking about instead of the top end being 150 mph could be 180 miles hour now with the wind because the water is so hot so this was 1982 to 2022 2024 is the red it's almost like everything's hitting us all at once now that it built up it built up it built up and now we're off the charts in terms of where we're at all right let me play this for you this is wild man time for the barelli bonus so we're talking about this monster heat we'll talk about the impacts on places like Texas and Florida as well but I want to focus on what's happening in Central America it has been baking for the past several weeks we're talking extreme heat there and every single Heat Wave now because air temperatures have risen is made worse by climate change they're more intense these heat domes they last longer and they're also much larger in scale so the result of that is places like Mexico City for instance have got to 95 degrees twice actually it was 94 on Friday 95 Mexico City is 7,300 ft in the air basically on a mountain 95 degrees there supposed to be cooler the higher up you go 95 degrees there record-breaking here we go this is like Mexico City for instance have gotten to 95 degrees twice actually it was 94 on Friday 95 on Saturday broke their alltime record two days in a row now that doesn't sound very high does it well it's measured at 7,300 ft cuz Mexico City is way up there by the way there 20 million people there so if you take the equivalent at the surface that's 110 plus degrees in Mexico City just to give you an idea of how hot it is there there are some impacts 48 people have died in Mexico since the heat wave began 157 monkeys have died of heat stroke dropped out of trees and the extreme drought in Mexico they are running out of water they're at day Zero sometime in June they think meaning they may run out of water in Mexico City so we have a horrible drought going on across all of Central America and Mexico the drought is Amplified by the Heat and the heat amplifies the drought so let's talk about just how hot it feels like and you can see these numbers Rebecca I mean up to 120° right now in parts of Mexico and Central America in Texas close to 110° if not more in Brownsville and across the State of Florida it's actually a picnic compared to the rest of the area right now now it's starting to affect corals already and we saw last year the worst Coral bleaching event in history this is a product from Noah coral reef watch it gives us a watch up to a warning up to an alert where we might see Coral bleaching and if you zoom in on the keys most of the keys already under a watch and then some of the keys also already under a warning but not quite alert level yet we're hoping it's not as bad a bleaching season as it was last year but it is possible if this heat continues so as the they pointed out there Mexico City could run out of water in a month unless it rains recorded heat in New Delhi hit an all-time record 52.3 de CS that's 126° fah today 126 degrees fenhe in India a new record the world is still only at 1.1 degrees above pre-industrial warming and may Al and may go as high as 2.4 South Asia will become literally unlivable many areas of the Middle East as well literally unlivable and it's happening faster than we ever thought every time I read an article on this it says the same thing it looks like what's happening is actually worse than the worst predictions that climate scientists had made not that long ago by the way buckle up for the hurricane season this year bro this is going to be a wild one this is going to be a [ __ ] wild one all right and then finally I'll give you this majority of us voters back legal action against Big Oil a majority us voters support civil lawsuits against fossil fuel companies for their role in creating the climate crisis while roughly half support criminal charges the poll results uh released Tuesday indicates support for the dozens of civil cases brought against Big Oil currently in US courts many of which were brought by municipalities or states in a sample of over 1,000 respondents 62% of likely voters said that they supported legal accountability for oil and gas companies for their contributions to climate change including 84% of Democrats and 40% of republic Republicans voters strongly want to see companies held accountable for their harmful actions these national uh findings show these cases may be able to earn popular support particularly in blue jurisdictions public interest groups have supported the civil cases and pushed for the US Department of Justice to also take civil action against fossil fuel companies which the lawsuits uh generally argue spread disinformation about the climate consequences of their product for many decades and continue to block substantive climate action the case against big oil has been strengthened by improved attribution science which can show the links between climate change and extreme weather events such as forest fires many experts draw comparisons to lawsuit once lawsuits once brought against big tobacco the uptake and legal activity is by no means unique to the US there are thousands of lawsuits against fossil fuel companies around the world yet the new poll does touch on an emerging idea among American experts in addition to its broader findings data for Progress found that 49% of likely voters support criminal charges against Big Oil 68% of Democrats and 32% of Republicans while just 39 39% of POS idea so even a it support criminal charges against Big Oil you want to know why people aren't [ __ ] dumb yeah big oil's bombarded us with propaganda for a long time about how actually the climate's not changing at all or actually if it is changing maybe it's a good thing and actually maybe it has nothing to do with with people and it just happens naturally in a cycle or so something solar flares whatever bro people aren't buying it they know you're full of [ __ ] they know they did this they know they know that you knew the consequences they know you lied and you lied on purpose some of the same people who argued that that cigarettes don't cause lung cancer are the same people who are arguing that climate change is nothing to worry about or yeah it's happening but it's got nothing to do with people so people see through it they see through you and now we're at the point where everybody realizes just through their anecdotal experience like yeah the climate is [ __ ] changing [ __ ] the data they don't even need to see the data they're like I see it in my own life I can see it moments like now uh really highlighted doesn't it hey y'all do me a favor and like And subscribe it helps out big time in the algorithm click the Bell as well for notifications when videos Drop and watch that video on screen right now you know you want to"
