title,video_id,channel,chunks_punctuation
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"Ben Shapiro. every time he talks about climate change, it is, uh, it is a glorious thing to see. you see, that big brain, uh, you know, breaking everything down in real time, it is, it's really phenomenal. so he's got some new thoughts for us on climate change. now, remember, guys, this is at a time when, um, we're getting records shattered left and right, just absolutely obliterated left and right. I mean, I don't even know is is Phoenix still going with their record? I know that it was like what did they have 22 straight days of 110 degrees or more, 22.. the previous record was 18.. they obliterated the record. and it's just one of many, right? we've seen the insane flooding in the Northeast and parts of New York. there's been a list of wild and extreme weather events: the, the water off the coast of Southern Florida was close to a hundred degrees. it was like a freaking hot tub. we're an Uncharted Territory here. well, um, Ben Shapiro is going to come in and, don't worry, he's going to use logic and facts to disprove any sort of concerns you have, based on science and empirical data and phenomenological experience. listen to this. can I point out that there are a lot of headlines right now about how hot it is outside. I know it's hot outside. you know what I can do about that? zero things. thank God we have this thing."
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"called air conditioning. it's awesome, you know. it's a great cure for being super duper hot outside. being a first world country, amazing. it works out tremendously well because it turns out that if you have a really solid energy grid and you have the capacity, turn on that AC, you're living quite comfortably these days. you know what sucks Global poverty? you know it brings Global poverty decarbonization. so not only is he being smug and glib and dismissive, you know, like AC, AC exists, so owned, climate change wrecked, owned, bro, we got you. he's also leaning into, by the way, let's not do anything about this at all. definitely don't- uh, you know, move away from carbon and fossil fuels. definitely don't do that. so not only is he being glib and saying AC is the solution, bro, he's also saying: but definitely don't move to solar, definitely don't move to win, definitely don't move to nuclear, definitely don't move to geothermal, definitely don't do anything you can. definitely don't have an economic Revival where we get the inevitable patents in the field of green and renewable technology, where we can be the world leader in that thing and we can make tremendous amounts of money. definitely don't do any of that. stick in the previous ERA. this is like a dude saying: right after the invention of the car, bro, forget the car, horse and buggy bro, where my horse and buggy people at you want."
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"to get off the horse and the buggy. what's wrong with you? we've been doing it like this for so long. do you think we're gonna change it? let me also point out that, uh, the media always do this routine when it's very, very hot outside. they never, ever, cover it when it's cold. so it's funny. that is actually factually not true and he's going to get into this here. but they used to call it global warming, now they call it climate change. why do they call it climate change? well, the trend is still warming. you could see the line on the crab goes, like you know, basically straight up or up in a very clear way. but because of climate change, there are also just a massive increase of extreme weather events of all kinds across the board. so they do bring up when it's cold outside and in that instance, oftentimes they say, yeah, this potentially could be part of climate change. scientists are very careful when they talk because they want to make sure they're clear about something. so, and you can't say any one individual weather event is because of climate change, you can look at the pattern, you can look at the trend and then you can definitely say it's because climate change and yes, it includes extreme weather events on the other side too. yes, and that's not crazy, that's not stupid, that's not dumb. you're being professionally dense when."
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"you act like you don't understand that point. your freaking ivy league educated. you get the point people are making. you just don't agree with it. so you try to poke holes using facts and logic, but you end up falling on your ass. the media will say: well, you know, it's not global warming, it's not climate change. and the reason they changed the term from global warming to climate change is because the the climate in many cases is colder during the winters than it was before, so it's hotter during the summer since colder during the winters. they've called this climate weirding, but that doesn't really seem to go over all that way, so they call it climate change, which, of course, is an incredibly vague term because the climate is always changing. however, it is worth noting at this point that all of this folks, Millions- will die of the heat waves that are occurring on planet. oh my God. the ocean is so hot during the summer in Florida, okay. so, first of all, it is hot this summer in Florida also. it's not like every summer in Florida. I've been to Florida. it's really really hot and humid, like I noticed when I first visited here several years ago, and we moved anyway because air conditioning exists. so he's like poo pooing the idea that people will die because of climate change. well, I hate to tell you, Ben, but there's this thing called."
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"drought. there's this thing called famine. there's this thing called uh many fresh water resources running out, where we'll eventually have wars over water. there's this thing called the Middle East will at some point be uninhabitable because it's too hot. who knows, maybe places like Phoenix, Arizona will be uninhabitable- and they also sold a lot of their water to freaking Saudi Arabia, by the way, seems like a bad idea given the current place we're in. you got all these problems and he just swats them aside. we have AC. yeah well, thank you, Ben, for using your big brain like I get it, dude. you're conservative, I get it. I get it. I get it. but when you're so ideological and you're so married to your, your politics that you just disregard or ignore or SWAT aside empirical facts about reality, I mean it there. you can't call that anything but dishonest. you can't, you can't do it. so you know it used to be the case that these guys had climate change isn't happening. now it's like: okay, it's happening, but it's natural, it's gonna happen no matter what. okay, it's happening, but it's a good thing. they keep like moving the goal posts and now we're at the point where he's just like threw his hands up in the air. he's like: I don't know. whatever it is, what it is, AC exists. get over it. that's not good. that's not a serious way of."
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"tackling this problem. so, anyway, you would have thought that over the years, his commentary would have been sharpened because he's a political commentator. no, this reminds me exactly of this old clip, which is a very famous clip because everybody and their mother made fun of it because it's the dumbest thing you've ever heard in your life. so let's say, let's say, for the sake of argument, that all of the water levels around the world rise by by, let's say, five feet over the next hundred years, say, 10 feet by the next hundred years, and it puts all the low-lying areas on the coast underwater right which, let's say, all of that happens. you think that people aren't going to just sell their homes and move? this is the level of commentary that we're dealing with, and he's viewed as the right wing intellectual, he's used as the smart guy, and this is this type of stuff. he says: well, look again, I got news for you saying now, in the year of Our Lord, 2023.. we have AC, bro, what ifs? that same level, that's the same level of commentary and, honestly, it's embarrassing. at this point, if you're- uh, you know- willfully going along with this, I don't know what to tell you. I don't want to be too much of a dick and question your intelligence. but good, googly, moogly, it's hard to steal man people who are falling for this stuff, man."
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,"it really is sweet Jesus. I don't. I don't know how this is convincing to anybody, but nonetheless, here we are. hey, y'all do me a favor and like And subscribe. it helps out big time in the algorithm. click the Bell as well for notifications when videos Drop and watch that video on screen right now. you know you want to."
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,"every day I learn a new fact. that scares the crap out of me when it comes to climate. so this is an axios. a new study says a key Atlantic Ocean circulation could shut down by mid century. so here's a little picture of it here: the way the circulation works in the Atlantic. it's actually really interesting. a key element driving the Atlantic Ocean May dramatically dramatically slow down and then turn off completely during the next few decades. a new study finds the circulation known as the Atlantic meritonial Meridian overturning circulation, or the amok. amoc includes the Gulf Stream, part of a global conveyor belt that moves water around the world. the amok helps to regulate everything from the rate of sea level rise on the east coast to Europe's average temperatures. a sudden shutdown of this ocean current, which the new study shows could occur during mid-century or between 2025 and 2095, was part of the plot of the 2004 disaster film The Day After Tomorrow. do you guys remember that movie? We're literally now bringing about in reality Day After Tomorrow stuff. the research published Tuesday in the journal Nature Communications uses statistical methods to tease out early warning signals of an amok collapse, including a Slowdown in the current and increasing variability. the findings also suggest the shutdown may happen sooner than previously thought and perhaps within many people's lifetimes. a breakdown would likely be potentially irreversible and would Mark a major Tipping."
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,"Point: critical thresholds in Earth's climate system that, when crossed, will usher in severe changes. climate models indicate that an abrupt stop could trigger extreme cooling across parts of the northern hemisphere. rainfall patterns around the world would be disrupted and major floods and storms would increase, leading to further sea level rise in the North Atlantic Basin, among other effects, they say when they talk about extreme cooling. I saw this in a different article on the same topic. they say that, uh, in like, like the UK, for example, northern Europe sort of area that that would go into to extreme cooling. now I'm sure if slash, when that happens, you'll have a conservative turn around and say whatever, I thought it was global warming and look, there's massive cooling going on here. no, the reason why they changed the terminology to climate change is to be more accurate, because the fact of the matter is, even though the trend over time is warming- and that line is very clear- the climate truly is warming. the weather even is warming. it's true that you're going to have all sorts of issues pop up with severe weather on both ends of the spectrum, and this is one of those things. as a direct result of climate change, this circulation could stop and then you'll have some places that get super freaking cold. totally Haywire, our system's gone. totally Haywire. we're talking about drought. we're talking about famine, we're talking."
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,"about wars over water. we're talking about some places you can't even live. we're talking about increased extreme weather events. the list goes on and on. while the precise effects of a collapse aren't fully understood, scientists believe it would have vast socioeconomic consequences for tens of millions of people, acutely impacting coastal cities, agriculture. that's terrifying. if it's going to affect our agriculture, how do we know everything's going to be okay where we can feed everybody, fish populations and marine ecosystems? detailed observations of this circulation pattern via modern instruments are relatively short. the study notes the scientists extended records further Back In Time by using sea surface temperatures to shed light on Trends. the authors also noted they couldn't rule out overlooked or undiscovered mechanisms not reflected in their assessment. the amoc is a system of ocean currents that transport water and heat between the Southern Ocean and the far North Atlantic Ocean in a years-long cycle that influences weather patterns in both hemispheres. the currents are driven by differences in water density, regulated by changes in temperature and salt concentration. as warm water flows north along the ocean's surface, it becomes denser as evaporation increases, salinity levels and temperatures decrease, making it sink deeper. it then slowly spreads southwards before rising from the ocean's depths in the Southern Ocean in a process known as upwelling, thereby completing the circuit. previous Studies have shown that the already slow moving series of ocean currents is likely further weakening."
