title,video_id,channel,clim_change,glob_warm,carb_emis,green_en_policies,fos_fu_ind,clim_activ,env_regul,clim_polic_debate,renew_en_trans,carb_tax
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.479,0.459,0.153,0.238,0.108,0.459,0.192,0.431,0.159,0.115
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.399,0.422,0.332,0.507,0.325,0.423,0.319,0.479,0.471,0.33
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.532,0.507,0.216,0.195,0.098,0.427,0.221,0.409,0.182,0.176
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.588,0.547,0.254,0.284,0.149,0.456,0.258,0.472,0.23,0.229
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.442,0.34,0.172,0.318,0.196,0.433,0.244,0.432,0.273,0.186
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,0.291,0.309,0.096,0.184,0.138,0.301,0.176,0.369,0.155,0.139
CLIMATE COLLAPSE: EXTREME Temperature Records SHATTERED Again | The Kyle Kulinski Show,twNs_39Zqa4,Secular Talk,-0.03,0.053,-0.012,0.031,-0.03,0.077,-0.026,-0.009,0.012,0.02
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.378,0.415,0.168,0.118,0.169,0.31,0.148,0.319,0.16,0.101
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.543,0.523,0.211,0.225,-0.002,0.392,0.186,0.44,0.251,0.132
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.45,0.433,0.222,0.152,0.188,0.384,0.248,0.401,0.15,0.127
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.496,0.48,0.183,0.179,0.145,0.353,0.138,0.456,0.174,0.097
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,0.103,0.154,0.06,0.109,0.087,0.189,0.127,0.21,0.057,0.052
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.418,0.463,0.24,0.28,0.14,0.407,0.217,0.402,0.147,0.163
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.136,0.188,0.007,0.059,0.017,0.121,0.011,0.117,-0.028,-0.04
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.29,0.269,0.182,0.355,0.287,0.276,0.203,0.415,0.429,0.274
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.472,0.48,0.269,0.329,0.226,0.424,0.296,0.484,0.31,0.249
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,-0.06,0.022,-0.049,0.046,-0.074,0.034,-0.024,-0.045,-0.016,-0.036
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.006,0.059,-0.065,-0.0,-0.011,0.111,0.001,-0.013,-0.015,-0.044
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.227,0.203,0.015,0.192,0.12,0.287,0.169,0.296,0.115,0.035
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.335,0.307,0.269,0.357,0.334,0.41,0.316,0.411,0.308,0.38
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.375,0.347,0.308,0.306,0.355,0.423,0.301,0.475,0.276,0.407
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.27,0.349,0.253,0.194,0.207,0.3,0.173,0.266,0.095,0.226
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.448,0.356,0.242,0.24,0.241,0.324,0.211,0.358,0.201,0.198
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.605,0.504,0.295,0.265,0.164,0.459,0.254,0.488,0.197,0.211
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski S     how,fVzw1IkuEXw,Secular Talk,0.066,0.1,0.098,0.043,0.056,0.108,0.036,0.061,-0.007,0.097
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.452,0.472,0.532,0.289,0.372,0.41,0.275,0.467,0.291,0.412
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.589,0.576,0.456,0.318,0.249,0.409,0.278,0.47,0.323,0.383
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.397,0.353,0.359,0.545,0.442,0.391,0.377,0.504,0.453,0.386
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.569,0.422,0.221,0.284,0.139,0.433,0.209,0.55,0.25,0.164
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.492,0.462,0.148,0.198,0.15,0.353,0.094,0.413,0.269,0.082
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.255,0.294,0.337,0.215,0.276,0.352,0.297,0.341,0.184,0.333
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.366,0.286,0.207,0.146,0.079,0.357,0.173,0.366,0.068,0.136
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.448,0.421,0.139,0.194,0.087,0.337,0.154,0.404,0.185,0.095
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.316,0.337,0.17,0.112,0.04,0.196,0.053,0.227,0.12,0.107
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.287,0.327,0.188,0.198,0.127,0.232,0.186,0.254,0.149,0.108
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.357,0.344,0.321,0.398,0.39,0.48,0.413,0.552,0.242,0.302
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.353,0.357,0.352,0.417,0.41,0.456,0.403,0.535,0.298,0.388
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.364,0.35,0.3,0.226,0.145,0.421,0.198,0.304,0.105,0.287
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.338,0.32,0.078,0.089,0.06,0.32,0.106,0.263,0.075,0.026
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.181,0.18,-0.005,0.096,0.009,0.184,0.153,0.158,0.053,0.015
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.311,0.291,0.111,0.168,0.08,0.277,0.099,0.306,0.136,0.083
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.397,0.401,0.193,0.143,0.123,0.364,0.108,0.325,0.134,0.134
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.495,0.489,0.226,0.261,0.269,0.335,0.196,0.468,0.354,0.196
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.445,0.403,0.189,0.259,0.102,0.439,0.152,0.33,0.215,0.12
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.494,0.395,0.268,0.348,0.232,0.508,0.272,0.522,0.28,0.266
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.123,0.125,0.026,0.11,0.029,0.148,-0.0,0.125,0.148,0.109
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.125,0.155,-0.005,0.083,0.093,0.13,0.048,0.135,0.125,0.082
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.43,0.405,0.345,0.385,0.398,0.413,0.286,0.508,0.35,0.283
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.362,0.379,0.409,0.469,0.453,0.353,0.321,0.469,0.376,0.378
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.382,0.341,0.266,0.347,0.294,0.48,0.275,0.498,0.235,0.256
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.213,0.224,0.219,0.219,0.279,0.24,0.204,0.267,0.244,0.236
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.033,0.086,0.058,0.132,0.111,0.111,0.03,0.118,0.062,0.088
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.498,0.445,0.155,0.231,0.102,0.371,0.13,0.409,0.19,0.108
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.657,0.652,0.322,0.294,0.217,0.464,0.268,0.519,0.269,0.202
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.374,0.376,0.191,0.24,0.198,0.373,0.163,0.452,0.109,0.16
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.366,0.319,0.438,0.418,0.324,0.432,0.352,0.534,0.289,0.456
